,Category (service/promo),,in category write down the se
We are available 24/7. Resolve your queries today at JeetKhel. Email at support@jeetkhel.com or Chat Live. bit.ly/csh-JK MobileGX,Promotional,,
BULK SMS SPAM,Promotional,,
voice call,,,
Receiving calls from airtel,Promotional,,
Please block this sender I'd i have no received any SMS no this number...thank you,Promotional,,
NO CORRUPTION PLEDGE,Promotional,,
coustomer wants to stop promotional calls,Promotional,,
promo caLLS,Promotional,,
promotional calls,Promotional,,
promotional calls,Promotional,,
IAPP-YOUR PROFILE IS ELIGIBLE WITH KREDITBEE  GET INSTANT DISBURSAL UPTO RS 4 LACS  SUBMIT YOUR KYC NOW HTTPS   BIT LY 3FBQW54 LINKBELL,Promotional,,
promotional calls sms,Promotional,,
"Your profile is eligible with Kreditbee, get instant disbursal upto Rs 4 Lacs. Submit your KYC now https://bit.ly/3FbQW54 Linkbell",Promotional,,
AD BFLFIN getting SMS for the financial and for the loan,Promotional,,
"DEAR USER, YOU'VE UNLOCKED PVR MOVIE REWARDS WORTH RS 500 & MORE REWARDS OF RS 2500 FROM FAVE AS PART OF YOUR NOCOST EMI. PVR REWARDS: USE CODE SPL02SPL & GET 100% CASHBACK UPTO RS 500. VALIDITY: 4 DAYS AVAIL 9+ BRAND PROMO CODES ON APP DOWNLOAD FAVE NOW BIT.LY/49OFWHG",Promotional,,
RECHARGE  RELATED CALLS,Promotional,,
Please use otp: 929220 to validate.,Service,,
promotional calls,Promotional,,
PROMOTIONALS CALLS AGAIN AND AGAIN,Promotional,,
IAPP-DEAR BULK SMS USER   FACING A TECHNICAL ISSUE WITH YOUR EXISTING BULK SMS PROVIDER  OR DLT TEMPLATE ISSUE   WE HAVE BEST BULK SMS SOLUT,Promotional,,
"Here's a Rs. 50 gift voucher because we miss you, jithulotus! Log in now to claim - ct3.io/3GLpZdK - T&C apply -A23",Promotional,,
"Dear Customer,
Joyalukkas: 'JOYFUL DIWALI FESTIVAL!' Enjoy FREE CASHBACK VOUCHERS on every purchase. Offer valid till 12th Nov '23. Hurry! bit.ly/49geLX9 *T&C.",Promotional,,
Feel secure 24/7 with Airtel Xsafe Wi-Fi security camera at just Rs. 119/month Book now and get FREE expert installation link...,Promotional,,
loan related calls,Promotional,,
I only get the alphabet p in Sms,Promotional,,
"MERU I Dear SP your Total OS as on date is Rs.62 Payment due for the day is Rs.62 please pay Rs.62 before 12 PM to avoid locking , your Credit limit is only Rs.0",Service,,
"MERU I Dear SP your Total OS as on date is Rs.62 Payment due for the day is Rs.62 please pay Rs.62 before 12 PM to avoid locking , your Credit limit is only Rs.0",Service,,
pramosnal call msg / wify colling,Promotional,,
"Dear User, Your health matters! Book a health check & avail FREE home sample collection with code: FREESAMPLE.",Promotional,,
Received promotional messages twice a day,Promotional,,
"Hi, Your order has been placed. Sounds good?
Shipment with The Moms Co. Am-Pm Skincare Kit worth Rs.856 can be delivered in 1 click!
Tap here weurl.co/3xv2vP",Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT RS  10000 AGAINST M ATM CASH WITHDRAWAL DATED 04 11 2023 AT 09 41 46 IS SUCCESSFUL WITH TXN ID RRN 330809093,Service,,
SMS regarding pre approved person loan,Promotional,,
promotional  call,Promotional,,
"Your profile is eligible with Kreditbee, get instant disbursal upto Rs 4 Lacs. Submit your KYC now https://bit.ly/3FbQW54 Linkbell

This message keeps coming from different LINBKB sms addresses... either JX or AD...",Promotional,,
promo calls,Promotional,,
IAPP-CONGRATULATION   NOW YOU CAN UPGRADE IDFC FIRST BANK CREDIT CARD AND GET FREE 172 LTR FUEL  APPLY NOW HTTPS   INFN IN 8QNB8H SRI BALAJI,Promotional,,
Receiving Airtel TV notifications constantly,Promotional,,
"??? 9928XXX947 ?? ???!
2GB/??? ????, ????????? ??? ?? 100 SMS/???, 28 ??? ?? ???, ??299 ?????? ??? ?? ??? ?? ????| Get exclusive benefits on Thanks App. i.airtel.in/AirRech",,,
Loan messages,Promotional,,
Promotional airtel call,Promotional,,
promo calls,Promotional,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD?  TRACK YOUR ORDER WITH THE MOMS CO   NATURAL GLOW ESSENTIALS WORTH RS 997 ONLY AT RE 1  PAY,Promotional,,
dnd registered but still getting promotional calll,Promotional,,
Cc was BANK CALL,Promotional,,
"???? ?? ??????? ???????? ??????? ???? ?????? ?? ????? ????? ???? ????? ?? ?????? ""????? ?????????? ???????""-?? ??????? ???????? ???????? ??? ???",,,
customer is getting promotional calls,Promotional,,
Hey User AXIS Bank- Your AXIS bank Card Can be Pre-qualified with a limit of upto Rs.200000 Confirm your details Now : mn7u.com/fcjrns!91c5p3q HexWEB,Promotional,,
promotional call sms stop,Promotional,,
promotional call receive,Promotional,,
"Hi Pritesh,as Wishfin user,exclusive prequalified personal loan offer upto upto Rs 300000 from HeroFincorp-instant disbursal in 10 min.Click wfds.in/xGv2nVTVH -Wishfin",Promotional,,
GETTING MSG FOR SCHOOL FEES,Service,,
"Congrats! You are eligible for Pre-approved Credit Card from IndusInd Bank. Min Docs. Easy Processing. Click https://qxit.in/zkAC6z. PaisaBazaar

Pre-approved bank loan from HDFC bank",Promotional,,
DIWALI DHAMAKA @IMAGINE IPHONE15 45900 IPHONE14 41900 GET SOUNDBAR WORTH 10K WATCH 21900  IPAD 24900  AIRPODS 11000 CASHBACK 5K* BIT.LY/IMGOF T 82874-82874 *T&C,Promotional,,
"Your appointment is confirmed with Shuddhi Clinic Address: Hemra Chowk New Ratanpur Road Opposite Kds Heart Hospital Bijuliya Begusarai Bihar Map: https://jsl1.in/SWCBGSR Call: 90654-82216 , 94300-65826",Service,,
"SMS CONGRATULATION! YOU ARE ELIGIBLE FOR HDFC BANK RUPAY CREDIT CARD START UPI THROUGH CREDIT CARD,FREE AIRPORT LOUNGE. APPLY NOW HTTPS://INFN.IN/ZZ4VM6 SRIBALAJI",Promotional,,
dnd already activated but still getting calls from wifi,Promotional,,
FLASH MESSAGING CONTINOUSLY,Promotional,,
"Witness the Elegance@Ruparel Panache,Santacruz(W)
Offering 2&3 Bed Deck Residences,21+lifestyle amenities Earn assured RENTAL upto 2Lac
T&C Apply
9018149149",Promotional,,
company ki or se call aa rahe hai,Promotional,,
company ki or se call aa rahe hai,Promotional,,
promo call again after activating,Promotional,,
PROMO CALL IS RX,Promotional,,
PROMO CALL IS RX(8683089915),Promotional,,
Received promotion call,Promotional,,
spam calls,Promotional,,
promo calls,Promotional,,
"IIFL SECURITIES at EOD 21/10/2023 reported your Fund bal Rs 0.270 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE",Service,,
"Ready to dispatch! Your Pre-Approved Credit card from RBL Bank is one step away, lifetime Free, 1% Cashback*, Grab Now! https://qxit.in/J7l7pi Paisabazaar",Promotional,,
offer related calls,Promotional,,
call from Airtel,Promotional,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  TRACK YOUR ORDER WITH THE MOMS CO   NATURAL GLOW ESSENTIALS WORTH RS 997 ONLY AT RE 1  PAY,Promotional,,
Gets otp from different company. I am getting lots of otp from today morning,Promotional,,
"RUPIGROW ask you to complete your Cash Requitement, Complete Now https://b.link/rupigrowpl call 9082073204",Promotional,,
OTP COMPANY,Promotional,,
promotionals calls again and again,Promotional,,
CONGRATS HDFC BANK- YOUR HDFC CARD UPTO RS 330000 - LIMIT CREDIT CARD IS APPROVED  PLEASE CONFIRM YOUR DETAILS MN7U COM FFU26S 74ERR2M JADEADVR,Service,,
dnd registered but still getting promotional  call,Promotional,,
unwanted calling from airtel for wifi,Promotional,,
promo calls,Promotional,,
PROMOTIONALS CALLS AGAIN AND AGAIN,Promotional,,
IAPP-PATNA MUNICIPAL CORPORATION   REMINDER FOR PROPERTY TAX PAYMENT  DEAR PROPERTY TAX PAYER  KINDLY PAY YOUR CURRENT AND OUTSTANDING TAX,Service,,
"Hi Customer, your last buy with Flipkart Pay Later has unlocked IDFC FIRST Bank's pre-approved Personal Loan offer of Rs. 500000. https://idfcfs.in/DAVONo TCA",Promotional,,
"Hey, we miss you. A23 is now available on play store. Download now to claim Rs.50 gift voucher - ct3.io/3HQTfyn - T&C Apply -A23",Promotional,,
"Let's Rethink Big
The Verraton
Thane
Launching Super-sized
2bed homes 840sq.ft.*
1.63Cr* All in.
0 Stamp Duty*
Flexi Pay Plan*
*T&C
7738305903
Rera?Reg TBMJNI",Promotional,,
"Launching Helios Collection at Parkwoods, Thane 55 storey residential landmark.
2 BHK with endless views of Yeoor Hills at 1.19Crs*
Call 9833005200
DYNAMX",Promotional,,
"Rustomjee Pre Launches LA VIE @ Majiwada Thane
2BHK - 1.18Cr All In
3BHK - 1.85Cr All In
No Stamp Duty
20X5 Payment Plan
Visit https://bit.ly/45rvns2
MSPACE",Promotional,,
"Hey, we miss you. A23 is now available on play store. Download now to claim Rs.50 gift voucher - ct3.io/3I0TnWW - T&C Apply -A23",Promotional,,
Promotional Workshop invitation without consent,,,
PROMOTIONALS CALL AGAIN AND AGAIN,Promotional,,
Settlement For TID : 1626931A Amount : Rs.8680Count : 26 Batch ID: 177 on 2023-11-04 21:31:33.753314 is Successful -Worldline India,Service,,
promo calls and s,Promotional,,
PLEASE UPDATE | USER GETTING UNSOLICITED CALLS SO MANY | PLEASE TAKE A LOOK,Service,,
IAPP-ON KALASHTAMI 5 OCT   PERFORM KALA BHAIRAVA HOMA  HTTPS   T LY LHYZW  SEEK PROTECTION FROM FEAR FINANCIAL LOSSES HEALTH AILMENTS   DEVA,Promotional,,
"Dear Partner, Points grid for November month is released. Login now to check your grid. Use your registered mobile number, Click here to login https://www.gridpoint.live/ - Team GIRNRF",Promotional,,
customer getting promotional calls  8035768099,Promotional,,
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,
IAPP-ON KALASHTAMI 5 OCT   PERFORM KALA BHAIRAVA HOMA  HTTPS   T LY IW2YJ  SEEK PROTECTION FROM FEAR FINANCIAL LOSSES HEALTH AILMENTS   DEVA,Promotional,,
I am registered for DND but getting Promotional Calls or Messages,Promotional,,
promotinal calls,Promotional,,
"Witness the Elegance@Ruparel Panache,Santacruz(W)
Offering 2&3 Bed Deck Residences,21+lifestyle amenities Earn assured RENTAL upto 2Lac
T&C Apply
9018149149",Promotional,,
"Divine Pushya Nakshtra. Lowest Gold Rate 56600+4.99% flat making on All 22kt Gold Jew. Shop n Win Cars worth Lakhs.PP Jewellers,Pooja Complex,Ambala. 7601007601",Promotional,,
Received Promotional calls regarding offers and plans,Promotional,,
"Hi Harini Binosh, Master Math, Science, and Spoken English with Sri Chaitanya's online tuition for classes 4-10. Call now +917996234529 and get 30% off.",Promotional,,
"Hi Vallinayaki, Big congratulations! You've unlocked an exclusive higher credit limit on MoneyTap. Take a look at your new limit: 5 lakh. a1.moneytap.com/p6QlZX",Service,,
"Wish U Happy Todays Offer @999/-(MONSOON OFFER) FULL body Bubble Ther@py hygienic Call -(SATRA PLAZA 9967626548 )(VASHI PLAZA 9321713073 )
VB WELNES",Promotional,,
BSNL HOUSING SOCIETY RESIDENTIAL SITES FOR SALE NEAR BANGALORE INT AIRPORT ON 6 LANE STRR HIGHWAY PAY IN 4 EASY INSTALMENTS CALL 7411154343 shbdeveloperss.com,Promotional,,
"Dear Customer, faster the better right? Avail a personal loan of Rs. 283000 from IDFC FIRST Bank! Hurry https://idfcfs.in/C_0UqE TCA",Promotional,,
"Hey Lalit, Get OnePlus Nord CE3 lite, 8GB RAM, 256GB ROM from Rs.20,499* at Festival of Dreams on Tata Neu! T&C apply https://tneu.in/VzarnYca",Promotional,,
"Hi, Your birthday is coming soon. It is time to buy a 1Cr Term Plan for Rs.4391 rather paying Rs.4561 after bday. Click https://pbzar.in/c6Yw38  Paisabazaar",Promotional,,
Pre-approved loan exclusively for you. Get loan of  Rs.168000. Easy processing. Direct bank transfer. Click http://nc7.in/Vkmhtk5 Paisabazaar,Promotional,,
"Dear Customer, enjoy your summer break with IDFC FIRST Bank's digital personal loan offer of Rs. 283000 just for you. https://idfcfs.in/DAJxsE TCA",Promotional,,
customer getting promotional calls 9048196973,,,
"Dear G3+,Customer: Last Day-FLAT 10% OFF. Fresh Arrival on All Category Use This Coupon on Cash Counter DDS65466 @ G3+ Ghoddod Rd. T&C*",Promotional,,
"#KRISHNA 37
DIWALI DHAMAKA

Ferrero Rocher T24=199 Off
Badam Giri 1kg=589
Kaju 1Kg=749
Dinner Set=599
Dry Fruit Box=50% off

T&C
www.instagram.com/supermarche37",Promotional,,
"Hi Navneet, Limited period offer for you - boAt Airdopes 148 TWS earbuds at Rs.999 + Extra 10% off on Tata Neu! T&C apply https://tneu.in/svRW6lJU",Promotional,,
PROMOTIONAL CALLS,Promotional,,
"Join Now Live Medical Coding Workshop by Henry Harvin Education starts at 2:00pm.

To Join Click Link: bit.ly/3u109em
Passcode: 454771",Promotional,,
spam call aa rahi hai,Promotional,,
Receiving Airtel promotional calls sms,Promotional,,
IAPP-LOCKABLE OFFICES IN SEC 86 GURUGRAM NR DOMINO S  PIZZAHUT  SOCIAL  BARBEQUE NATION  BIKANERWALA  HALDIRAMS PRICE  25L ONWARDS EARN 12,Promotional,,
"DearCustom 3/4 BHK-Ultra-Luxury-Apartments Bang on Dwarka Expressway GGM 12.5ft-Ceiling,5-Clubhouse Starts from Rs 3.11 Cr*,wa.link/wkbaan Ph 8130203750 GTI",Promotional,,
"DEAR MEMBER, USE OTP 8879 TO AUTHORIZE YOUR LANDMARK REWARDS ACCOUNT. THANKS, LANDMARK GROUP",Service,,
Congrats HDFC Bank- Your HDFC Card upto Rs.330000/- Limit Credit Card is approved. Please Confirm Your details mn7u.com/fkbnvm!76u0ojt JADEADVRT,Promotional,,
IAPP-THE PERSON YOU WERE CALLING IS NOW AVAILABLE TO RECEIVE CALLS  CLICK HERE TO CALL THEM BACK I AIRTEL IN RMCAALRT,Service,,
IAPP-DEARCUSTOM 3 4 BHK ULTRA LUXURY APARTMENTS BANG ON DWARKA EXPRESSWAY GGM 12 5FT CEILING 5 CLUBHOUSE STARTS FROM RS 3 11 CR  WA LINK WKB,Promotional,,
"Dear Investor, Let us together take a stand for corruption free India by taking a e-pledge at https://pledge.cvc.nic.in/ - CDSL",Promotional,,
BOI-MPGB-Cheque No 613884 for Rs 100000.00 has been Debited(CASH) in your account XX6261 on 30-10-2023. Avail Bal 207850.30,Service,,
IAPP-YOUR TRANSACTION OF AMOUNT 5000 0 AGAINST AEPS CASH WITHDRAWAL DATED 05 11 2023 AT 15 02 08 IS SUCCESSFUL WITH TXN ID RRN 330915137262,Service,,
Recharge Airtel calls,Service,,
SHOPPING OFFER,Promotional,,
"Lockable offices in Sec-86 Gurugram
Nr Domino's, Pizzahut, SOCIAL, Barbeque Nation, Bikanerwala, Haldirams
Price @25L onwards
Earn 12% rental
9999009791
Aranya",Promotional,,
When was the last time you checked your CIBIL Score? Get latest score for FREE in 2 minutes  http://r.bflcomm.in/TEXqknyE . T&C apply. Bajaj Finance Ltd,Promotional,,
When was the last time you checked your CIBIL Score? Get latest score for FREE in 2 minutes  http://r.bflcomm.in/S0nXBRwk . T&C apply. Bajaj Finance Ltd,Promotional,,
When was the last time you checked your CIBIL Score? Get latest score for FREE in 2 minutes  http://r.bflcomm.in/OIpOKWKk . T&C apply. Bajaj Finance Ltd,Promotional,,
Stop this type of calls,Promotional,,
"CIBIL UPDATE !
We are offering free Cibil check services to all the Bajaj Customers. To check your Cibil score click bit.ly/2LtJlSe
Bajaj Finance Limited",Promotional,,
promotional calls and sms,Promotional,,
DEAR USER YOUR ICICI CREDIT CARD REWARD WORTH RS 5899 WILL EXPIRED TODAY  PLEASE REDEEM YOUR POINTS IN ACCOUNT  VISIT US BIT LY 49H2EJL CONSULT,Service,,
IAPP-THIS DIWALI  SPEND LESS AND GET MORE  GRAB UPTO 50  OFF ON ALL GIFT SETS  HURRY  DON T MISS YOUR CHANCE  GRAB NOW  BZ1 IN IDU 7TSCRW2,Promotional,,
stop sms calls,Promotional,,
service alert promotion,Promotional,,
promotional calls,Promotional,,
MESSAGES FROM AIRTEL,Promotional,,
promo call again and again,Promotional,,
"विशेष अभियान 3.0 के उपलक्ष्य में, सर्ट-इन भारत सरकार आपको अपने डिजिटल उपकरणों को बॉट फ्री रखने की सलाह देता है। अधिक जानकारी एवं निःशुल्क बॉट निष्कासन साधन के लिए यह देखें https://www.csk.gov.in",Promotional,,
"विशेष अभियान 3.0 के उपलक्ष्य में, सर्ट-इन भारत सरकार आपको अपने डिजिटल उपकरणों को बॉट फ्री रखने की सलाह देता है। अधिक जानकारी एवं निःशुल्क बॉट निष्कासन साधन के लिए यह देखें https://www.csk.gov.in",Promotional,,
airtel offer,Promotional,,
"विशेष अभियान 3.0 के उपलक्ष्य में, सर्ट-इन भारत सरकार आपको अपने डिजिटल उपकरणों को बॉट फ्री रखने की सलाह देता है। अधिक जानकारी एवं निःशुल्क बॉट निष्कासन साधन के लिए यह देखें https://www.csk.gov.in",Promotional,,
"Nest Builders Carnival II.
Bang on GST Rd. 

2&3BHK 57L@Perungalathur. 
Get Spl Disc.

Luxury Amenities. 

Call: 7305943187
Chat: https://bit.ly/reva2",Promotional,,
Unwanted calls from airtel,Promotional,,
"Service Alert!
In case you do not wish to receive Promotional call/SMS from us, please register for DND here  http://r.bflcomm.in/P5IZENEE .
Bajaj Finance Ltd",Promotional,,
IAPP-AS PART OF SPECIAL CAMPAIGN 3 0  CERT IN GOI ADVISES YOU TO KEEP YOUR DIGITAL DEVICES BOT FREE  GET BOT REMOVAL TOOL AT HTTPS   WWW CSK,Promotional,,
"Carrier info 
Alert:app ka 3gb data rat ko 11:59 pey khatam hojayeyga",Promotional,,
466194 is OTP to complete your Order with New Vivek Jewellers. OTP valid for 15 minutes.,Service,,
Airtel promotion,Promotional,,
promo calls and sms,Promotional,,
ਰਿਸ਼ਵਤ ਲੈਣਾ ਅਤੇ ਦੇਣਾ ਜੁਰਮ ਹੈ। ਜੇਕਰ ਕੋਈ ਸਰਕਾਰੀ ਅਧਿਕਾਰੀ/ਕਰਮਚਾਰੀ ਰਿਸ਼ਵਤ ਮੰਗਦਾ ਹੈ ਤਾਂ ਵਿਜੀਲੈਂਸ ਬਿਊਰੋ ਪੰਜਾਬ ਨੂੰ ਟੋਲ ਫ੍ਰੀ ਨੰਬਰ 1800-1800-1000 ਜਾਂ ਵਟਸਐਪ ਨੰਬਰ 95012-00200 ਤੇ ਸੂਚਿਤ ਕਰੋ।,Promotional,,
1gb data left,Promotional,,
Loan offers,Promotional,,
"company call
promotional call",Promotional,,
"DEAR CUSTOMER, YOUR FAVORITE STAR BAZAAR IS NOW OPEN TILL 11 PM FOR YOUR DIWALI SHOPPING. IRRESISTIBLE PRICES ON TATA PRODUCTS FABSTA SAVORIES & SWEETS GIFT PACK RS. 109 ONWARDS SMARTLE LOTUS BOWL SET @ 129 DRY FRUITS GIFT PACK START AT @ 299 & MANY MORE OFFERS HTTPS://BIT.LY/3FGQ48U VISIT NOW. T&C",Promotional,,
"HI ARUN, DELIVERED  (NOV '23 OFFER): YOUR LIFETIME-FREE INDUSIND BANK CREDIT CARD OFFER WITH UP TO 5,00,000 LIMIT. TNC APPLY BNKBZR.CO/WKEED4FPLB",Promotional,,
THE UNSOLICITED COMMERCIAL COMMUNICATION,Promotional,,
"126-Years-old-Legacy.
Liquid, Transparent & Secure.
1000+Villa-Plots,
Nr.-Imagica-Khopoli.
1201-2400Sqft. from-48.9L
-Info.-:
https://wa.link/gd-villa

KOPLIG",Promotional,,
offer releted call,Promotional,,
715158 is your one time password (OTP) for NNNOW.COM,Service,,
985834 is your one time password (OTP) for NNNOW.COM,Service,,
923475 is your one time password (OTP) for NNNOW.COM,Service,,
Dear ICICI Credit Card User your fee of Rs 5899/- paid on Reddm Points click rb.gy/qxjmc successfully.,Service,,
"Congratulations! Your IIFL Personal Loan is Sanctioned! Click here to complete your loan application in just 3 steps http://nmc.sg/kJxjCb
-IIFLFN",Promotional,,
Congratulations! You secured Rs {50000} credit line. Get it now! bit.ly/45sCrox GSOU,Promotional,,
"Too many flash sms for internet package and for low data , keeps poping up for 10 or more times",Promotional,,
promo calls from elections,Promotional,,
Receiving regular promotional loan offers repeatedly,Promotional,,
IAPP-HI THERE   WITH OVER 100 000 CARS STOLEN EVERY YEAR IN INDIA  DON T LEAVE YOUR CAR S SAFETY IN THE HANDS OF LUCK  CHOOSE ACKO AND ENSUR,Promotional,,
Promo calls and sms,Promotional,,
CX GETTING SMS THIS NUMBER,Promotional,,
"Hi Mukul, aapka 
IndusInd Bank Credit Card offer DELIVER ho raha hai!
- Pre-approved
- NO FEES 
- 5L tak ki limit
TnC laagu bnkbzr.co/w9Aul3xMQt",Promotional,,
Hey User AXIS Bank- Your AXIS bank Card Can be Pre-qualified with a limit of upto Rs.200000 Confirm your details Now : mn7u.com/fnpkc3!8o2iki7 HexWEB,Promotional,,
PROMO CALLS,Promotional,,
Hey user SBI Bank- Your SBI Card  upto Rs.230000/- Limit Credit Card can be approved. Please Confirm Your details mn7u.com/fpgc1b!8bachfq JADEAD,Promotional,,
A/c *5443 Debited for Rs:39.00 on 06-11-2023 13:56:59 by Mob Bk ref no 331051606690 Avl Bal Rs:164.84 -Union Bank of India,Service,,
